hostel_name,city,price_from,distance__km_from_city_centre,summary_score,rating_band,atmosphere,cleanliness,facilities,location_score,security,staff,valueformoney,lon,lat
IlohaHostelmbaShinsaibashi,Osaka,2600,3.7,9.2,Superb,8.7,9.6,9.2,9.6,9.2,8.5,9.4,135.503048,34.673766
ImGuestHouse,Osaka,1900,6.2,8.3,Fabulous,7.0,8.0,7.0,8.0,9.0,10.0,9.0,137.26800978,35.14776438
ImanoKyotoKiyomizuHostel,Kyoto,2200,1.9,9.2,Superb,8.6,9.8,9.3,9.1,9.4,9.2,9.3,135.776144,34.995592
ImanoTokyoGinzaHostel,Tokyo,2700,7.6,8.9,Fabulous,8.3,9.3,8.9,8.8,9.3,9.2,8.7,139.7729057,35.6723059
ImanoTokyoHostel,Tokyo,3300,1.5,8.6,Fabulous,7.7,8.9,8.1,9.3,8.6,9.2,8.1,139.7077128,35.6935053
IroriNihonbashiHostelAndKitchen,Tokyo,2100,8.3,9.0,Superb,8.9,8.9,8.9,9.0,9.2,9.3,8.8,139.7836767,35.6926538
IzaTokyoAsakusaGuesthouse,Tokyo,2500,9.9,9.3,Superb,9.3,9.3,9.2,9.4,9.2,9.6,9.2,139.799302,35.706708
J-HoppersHiroshimaGuesthouse,Hiroshima,2300,1.1,9.1,Superb,8.5,9.3,9.0,9.3,9.3,9.4,9.2,132.4472444,34.3930208
J-HoppersKyotoGuestHouse,Kyoto,1900,3.6,9.0,Superb,8.4,9.1,8.3,8.9,9.4,9.7,9.3,135.761616,34.979439
J-HoppersOsakaGuesthouse,Osaka,2300,1.9,9.5,Superb,9.5,9.6,9.2,9.5,9.6,9.7,9.6,135.484861,34.697435
J-HoppersOsakaUniversal,Osaka,2500,6.4,9.4,Superb,9.3,9.7,9.2,8.7,9.7,10.0,9.5,135.442876,34.675236
J'SBackpackers,Tokyo,1600,16.6,8.3,Fabulous,8.0,10.0,8.0,4.0,10.0,8.0,10.0,139.8623809,35.745044
JamHostelKyotoGion,Kyoto,1500,0.9,7.7,VeryGood,7.0,8.0,7.0,9.4,8.0,6.9,7.9,135.772379,35.004919
JapanizeGuestHouse,Tokyo,1900,8.1,7.6,VeryGood,7.0,6.0,7.7,8.7,7.7,8.0,8.3,139.7816602,35.6925343
JghTokyo,Tokyo,1600,13.2,8.4,Fabulous,8.1,8.0,8.1,7.1,8.8,9.8,8.9,139.708425,35.8072664
JimbochoSakuraHotel,Tokyo,2200,5.9,9.4,Superb,9.0,9.5,10.0,9.0,9.0,9.5,10.0,139.756455,35.694959
Jiyujin,Kyoto,2600,2.0,9.7,Superb,9.0,10.0,9.8,9.5,10.0,9.7,9.7,135.76116,34.9949965
JuyohHotel,Tokyo,2900,10.7,8.3,Fabulous,7.6,8.4,8.4,7.1,8.9,8.9,8.7,139.8007803,35.7267106
KaisuHostel,Tokyo,3900,4.4,9.4,Superb,9.1,9.7,9.3,9.3,9.6,9.5,9.2,139.734537,35.669916
"KaneyoshiRyokan,mbaDotombori",Osaka,6500,4.2,9.4,Superb,10.0,9.0,9.0,10.0,9.0,10.0,9.0,135.505474,34.66926
Ken'SHouse,Osaka,2000,4.7,8.7,Fabulous,7.5,9.0,9.0,9.5,8.0,9.0,9.0,135.50277048,34.662963760000004
KhaosanKyotoGuestHouse,Kyoto,2000,1.1,8.9,Fabulous,8.2,8.8,8.5,9.6,9.1,9.0,8.9,136.00190232,35.03530216
KhaosanTokyoKabuki,Tokyo,3000,9.7,9.2,Superb,8.8,8.8,8.8,9.8,9.5,9.5,9.0,139.795251,35.711436
KhaosanTokyoLaboratory,Tokyo,2600,9.3,9.1,Superb,7.9,9.3,8.8,9.3,9.4,9.7,9.3,139.791328,35.711861
KhaosanTokyoOrigami,Tokyo,2500,10.0,9.5,Superb,8.9,9.7,9.6,9.4,9.7,9.7,9.4,139.797381,35.71634
KhaosanTokyoSamurai,Tokyo,2500,9.5,9.2,Superb,8.0,9.3,9.3,9.4,9.5,9.4,9.4,139.792325,35.714887
KhaosanWorldAsakusaRyokan&Hostel,Tokyo,2500,9.5,8.8,Fabulous,8.5,8.7,8.5,8.9,9.0,9.2,8.6,139.791771,35.714595
